100 2000
45 71 17110068.814
45 73 9120034.501
45 75 14750015.631
45 77 15570004.155
45 78 16680079.106
45 80 7050023.277
45 82 5960047.271
45 83 3400024.828
45 85 6400073.112
45 86 16570000.724
45 87 19320089.436
45 91 12910006.096
45 93 10030053.97
45 94 9610046.819
45 95 13560006.156
46 50 10580094.472
46 51 14870071.134
46 54 13540010.743
46 55 580058.85
46 57 10920075.741
46 59 2660071.666
46 60 2170035.772
46 64 2200004.426
46 67 8000006.066
46 69 4760042.594
46 72 16170029.861
46 74 4450041.879
46 76 10820090.045
46 78 12470003.238
46 81 13770019.673
46 83 18540084.161
46 87 4060037.414
46 89 13370022.588
46 93 10170032.88
46 94 16280055.603
46 95 19090093.325
46 96 19530005.102
46 97 18980086.341
46 99 11150058.156
47 48 3180030.349
47 56 10380040.575
47 58 12820038.0
47 62 7170079.285
47 65 4090059.975
47 68 16710024.322
47 69 14410021.217
47 72 18650096.113
47 73 9640035.625
47 76 1640052.07
47 77 10480058.179
47 80 7540046.643
47 81 6200053.275
47 82 13960011.736
47 83 6030099.849
47 95 3730035.359
47 96 5120008.421
47 97 13440095.131
47 99 11910008.888
48 51 17410053.589
48 52 8440070.287
48 55 10000001.598
48 56 18760002.57
48 61 8290059.319
48 63 11610036.884
48 64 13050008.134
48 65 19360073.043
48 66 3060032.195
48 67 12490010.067
48 70 13590086.164
48 71 2930023.345
48 72 14460040.111
48 78 17370021.188
48 81 11800067.407
48 84 15000013.495
48 85 8090063.599
48 88 15520034.36
48 93 3540011.007
48 95 17130069.644
49 50 13620016.811
49 52 13420042.773
49 53 18120022.672
49 54 5000041.017
49 57 9580063.785
49 68 18340096.188
49 73 1100015.998
49 74 5770072.779
49 75 3170027.468
49 76 7380078.346
49 78 12600083.213
49 80 13350025.634
49 82 5940015.379
49 85 2020045.753
49 88 19450096.515
49 91 15820016.996
49 92 10260022.887
49 94 1820063.025
49 97 16410022.47
50 51 2380064.668
50 53 8040006.9
50 58 17990089.017
50 59 2820080.873
50 62 4810057.423
50 69 10290037.41
50 73 8820012.748
50 74 13900091.081
50 78 16620074.521
50 81 14920056.174
50 84 19930085.62
50 86 11930073.552
50 88 15260095.683
50 93 18630055.308
50 94 11100027.79
50 96 19500080.657
51 55 7670066.409
51 57 11870084.039
51 58 8690027.917
51 59 19340077.617
51 60 13750001.3
51 62 12070076.644
51 63 3960010.088
51 70 12040042.453
51 72 4360042.196
51 73 4280078.337
51 78 19960066.266
51 80 14090069.032
51 82 10150059.546
51 86 15390093.441
51 88 6920037.781
51 91 11900079.558
51 93 19670044.218
51 97 16580083.919
52 54 19250047.787
52 56 8100046.126
52 57 7360016.153
52 58 440058.404
52 61 12090043.538
52 67 19300091.636
52 72 6160060.185
52 73 1460044.636
52 75 19480090.647
52 77 2510082.257
52 78 10720071.598
52 83 19900084.465
52 84 15870073.033
52 85 1970078.983
52 86 11280075.497
52 87 3200002.86
52 88 7730068.629
52 93 20016.175
52 95 14220027.135
52 99 3100036.435
53 56 17380011.106
53 57 10800067.923
53 59 17760037.12
53 63 19760028.854
53 70 8920034.97
53 72 12380060.501
53 75 4850075.734
53 76 5830044.745
53 82 8130019.719
53 89 12310059.87
53 90 9110081.583
53 92 15310027.829
53 93 80023.64
53 95 3290005.925
54 58 17630079.798
54 65 16450026.816
54 72 19710010.049
54 74 8840032.454
54 77 9080084.059
54 79 19810020.738
54 83 5760089.133
54 84 15670052.454
54 86 14360078.229
54 87 8780059.991
54 88 14330004.201
54 89 6590028.578
54 93 11290018.439
55 56 6100043.996
55 60 4530030.958
55 61 15230048.207
55 62 18550003.701
55 63 7650091.042
55 64 9940063.509
55 67 9450016.063
55 68 18830057.592
55 69 15850066.028
55 70 18600031.029
55 71 10140079.572
55 72 6690058.345
55 73 10650033.105
55 75 9150028.009
55 76 1920084.543
55 78 4880048.671
55 80 5740023.291
55 84 10040009.357
55 87 2780074.469
55 88 10560081.116
55 89 2470039.353
55 90 5700094.968
55 91 6140000.344
55 93 15560071.224
55 94 2850004.941
55 95 19280018.614
55 98 15160072.095
56 57 11090085.921
56 60 13940007.565
56 65 19470099.452
56 68 2920040.551
56 70 12110000.898
56 73 19460066.108
56 74 640047.704
56 79 10270078.257
56 80 7690092.566
56 84 5870079.641
56 87 3130085.526
56 89 15540028.458
56 90 14580088.171
56 93 13410024.936
56 96 5810068.787
56 97 18640056.67
57 60 12130054.148
57 61 2370071.565
57 64 17520033.351
57 66 12340000.082
57 67 3450046.855
57 71 11050093.082
57 72 3590039.191
57 73 12220073.325
57 74 14910048.17
57 75 16640000.642
57 76 1810051.286
57 78 9800067.933
57 83 14600063.265
57 84 6640000.676
57 86 19700082.988
57 88 8800039.127
57 92 19830054.443
57 93 11540006.7
57 94 14860064.878
57 98 2630000.935
58 63 2530084.078
58 65 380068.809
58 67 18450016.497
58 70 18620050.167
58 71 4210037.897
58 72 6910094.792
58 74 12810010.345
58 75 5600026.36
58 76 12210036.867
58 78 4510060.648
58 87 11120018.224
58 90 15470025.367
58 92 18460088.457
58 96 9410080.524
58 98 6950084.155
58 99 8700076.662
59 60 8460075.816
59 62 16520028.336
59 63 18700017.655
59 66 6850058.618
59 68 18060089.806
59 69 16800051.654
59 72 1440057.671
59 75 2590066.715
59 80 15610049.938
59 81 12730063.736
59 86 10460040.81
59 91 6300013.543
59 92 7950097.822
59 95 5280008.617
59 97 13160064.719
59 99 660066.37
60 68 1350064.366
60 80 1370004.799
60 82 590077.06
60 83 15580011.011
60 84 17000049.801
60 85 5290004.122
60 89 15330084.618
60 91 7100042.051
60 94 8860011.094
60 96 18510015.853
60 97 3790034.0
60 98 10090026.991
61 63 7860081.186
61 65 14720080.427
61 66 7000022.158
61 67 9470041.603
61 70 19330008.545
61 72 16110033.744
61 80 17320090.127
61 86 5580040.477
61 87 17900007.897
61 88 5910099.16
61 89 2680078.425
61 91 19510003.917
61 93 5620029.322
61 98 4140027.43
61 99 5260038.695
62 64 15450083.949
62 67 5300055.873
62 69 3280086.468
62 71 14820032.53
62 73 19420004.3
62 77 7110012.476
62 78 1670092.125
62 80 16700091.63
62 82 11810095.261
62 85 1150087.9
62 86 4250059.113
62 88 14620008.471
62 91 4480062.46
62 94 18660009.924
62 96 250083.457
62 98 1870041.364
63 66 13800041.871
63 69 11110013.222
63 71 390077.411
63 73 19890025.643
63 75 16890010.259
63 77 19970028.399
63 78 9190027.155
63 80 10220019.464
63 82 13550085.373
63 89 10120014.376
63 90 8340010.569
63 91 16470048.801
63 97 6720096.418
63 99 3510080.777
64 66 7920042.898
64 67 320015.959
64 72 9030019.803
64 78 3890083.713
64 79 5460079.594
64 80 16160076.555
64 83 16770067.898
64 85 16940018.91
64 86 5150003.135
64 87 2490066.795
64 91 11250097.588
64 93 14120033.998
64 94 4390097.128
64 97 19750004.803
64 98 8680099.74
64 99 5650008.798
65 66 13000070.862
65 69 17600004.539
65 72 8960016.242
65 73 1860006.139
65 74 13130056.261
65 78 11180011.686
65 80 6110074.318
65 81 10640028.074
65 85 7130076.855
65 89 8190085.072
65 93 16130042.576
65 95 16780098.105
65 99 740085.616
66 67 3860011.521
66 68 12250002.43
66 73 12630077.111
66 74 14390002.228
66 82 6130084.556
66 84 19690063.527
66 85 2870058.037
66 88 19650081.28
66 90 5220036.845
66 92 290043.739
66 93 7590057.557
66 96 5790070.731
66 97 9160015.408
66 98 3630044.047
67 70 14490050.053
67 72 12900052.394
67 74 13330098.991
67 76 16430091.779
67 77 14040025.834
67 78 14990071.963
67 79 8870039.416
67 81 4130055.406
67 82 2070003.226
67 83 10740008.93
67 84 12950009.106
67 85 8360059.81
67 86 16030018.85
67 87 19630046.471
67 89 8150069.168
67 92 800086.302
67 93 15350041.586
67 94 12390053.034
67 97 9590025.582
67 99 520052.308
68 69 11500080.695
68 70 7810062.478
68 71 16820007.542
68 72 9810020.646
68 73 13880075.882
68 75 18410087.424
68 77 18180054.252
68 78 2620046.4
68 83 12240070.258
68 85 360030.447
68 87 9860099.404
68 88 13950041.202
68 89 2990062.491
68 90 7680076.214
68 91 1890077.627
68 98 1380023.757
68 99 13650086.201
69 70 190098.235
69 72 10570080.751
69 73 16100068.207
69 74 7710039.832
69 79 13020084.495
69 81 350036.777
69 84 19400046.332
69 91 17710066.555
69 92 6050029.997
69 93 11600025.407
69 94 2340090.682
69 95 10420044.138
69 96 6870028.525
69 98 5010096.903
69 99 3000048.305
70 71 13860087.216
70 72 1010057.945
70 73 19080095.526
70 77 5990083.665
70 79 3010021.824
70 80 16460020.278
70 83 6900003.482
70 85 3950065.354
70 90 12840004.651
70 92 15750042.497
70 99 9870033.293
71 73 540044.442
71 78 4890034.431
71 80 3560021.329
71 82 16860017.846
71 91 18800056.46
71 92 2670022.853
71 95 15110082.648
71 96 16200082.375
71 99 14560051.439
72 78 16740041.627
72 81 550055.662
72 84 340087.298
72 85 12930060.354
72 91 6840072.042
72 93 2390091.8
72 94 4050099.482
72 95 16760099.48
72 98 19000024.09
73 78 12080024.045
73 80 7620098.68
73 83 19180085.058
73 84 4150085.147
73 85 18880050.517
73 86 19370053.319
73 89 4660020.848
73 92 4010003.215
73 93 1280054.67
73 94 16080045.689
73 97 18740047.342
73 98 1030077.817
73 99 600089.628
74 75 3500070.78
74 78 7220041.238
74 79 9550031.523
74 80 5180095.831
74 82 3270025.164
74 83 16960042.811
74 84 18140067.932
74 91 7300041.677
74 92 11950019.702
74 95 6990083.249
74 97 15190078.021
74 99 150016.984
75 76 19560060.894
75 82 3090004.516
75 87 9340088.007
75 90 930090.084
75 91 10400092.071
75 94 19040099.461
75 98 4900009.623
76 77 16490041.633
76 78 1450045.737
76 81 6480034.269
76 85 5660026.935
76 88 14570049.003
76 90 2890061.304
76 92 8390044.857
76 95 11890056.486
76 96 11620050.899
76 98 12450091.551
77 79 14470033.611
77 82 15740088.716
77 85 4790057.872
77 86 3840038.196
77 87 1310079.839
77 91 1480007.747
77 92 17270094.019
77 93 19220098.32
77 94 6940062.422
77 99 16920048.112
78 84 17040055.667
78 87 17060043.994
78 94 16870041.432
78 98 6780007.091
79 82 7210088.887
79 83 19990068.967
79 85 11480099.422
79 86 2940040.621
79 87 9490024.848
79 89 15320061.406
79 93 19590025.761
79 94 3340055.738
79 97 8410020.034
80 82 13100061.081
80 85 7880007.85
80 86 18900088.068
80 88 19740032.949
80 89 16880012.55
80 91 11740048.918
80 92 14730061.173
80 94 8670040.299
80 95 180047.93
80 96 1470067.528
81 82 17180090.657
81 83 110051.914
81 85 18680049.0
81 87 12750019.714
81 94 1120028.675
81 96 16390098.951
82 83 12870045.718
82 84 2700096.865
82 85 9460034.173
82 87 7470062.213
82 89 16150066.819
82 90 19870088.51
82 98 670061.138
82 99 4240099.812
83 91 12830022.344
83 94 4780045.217
83 95 7200019.147
83 99 10950039.601
84 86 10970038.313
84 88 6180033.514
84 90 2010079.261
84 91 14000054.733
84 93 3240097.371
84 94 9500067.467
84 97 4930021.938
84 98 5230092.129
85 87 8310058.174
85 88 3320047.045
85 90 8030081.579
85 92 4020099.792
85 94 3120024.001
85 98 17670019.088
86 88 6220069.954
86 92 4200054.596
86 96 14430020.493
86 97 14940028.635
86 98 9630051.499
87 88 18530078.162
87 89 1990072.498
87 90 10710097.602
87 93 15640046.161
87 95 3690038.559
88 91 5080088.22
88 92 17800016.217
88 96 17680038.819
88 97 8430008.105
88 98 9960062.973
89 90 15120053.361
89 91 11650077.619
89 95 40064.114
90 92 6240033.758
90 93 1720098.181
90 95 8280043.723
90 99 12590073.897
91 93 4680040.577
91 94 7790034.089
91 95 10670029.006
91 97 12440065.342
92 93 12300010.435
92 97 9790054.739
93 95 9440033.261
93 98 11860087.924
94 99 12480054.144
95 99 7260071.962
97 98 11940021.787
